ID(非必填),縣市(必填),鄉鎮(必填),村里(可不填),鄰(可不填),地址(必填)
109,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
110,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
111,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
112,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
113,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
114,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
115,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
116,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
117,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
118,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
119,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
120,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
121,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
122,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
123,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
124,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
174,高雄市,楠梓區,,,17鄰藍昌路72號
175,高雄市,楠梓區,,,17鄰藍昌路72號
176,高雄市,鼓山區,,,4鄰鼓山三路19-3號
177,高雄市,鼓山區,,,4鄰鼓山三路19-3號
178,高雄市,鼓山區,,,4鄰鼓山三路19-3號
179,高雄市,鼓山區,,,4鄰鼓山三路19-3號
180,臺北市,中山南,,,路21-1號
181,高雄市,前鎮區,,,新光路61號
182,南投縣,南投市,,,光明一路252號
183,南投縣,南投市,,,光明一路252號
184,高雄市,楠梓區,,,17鄰藍昌路72號
185,高雄市,楠梓區,,,17鄰藍昌路72號
186,高雄市,楠梓區,,,17鄰藍昌路72號
187,高雄市,楠梓區,,,17鄰藍昌路72號
188,高雄市,燕巢區,,,2鄰中民路592號
189,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
190,屏東市,民生路,,,4-17號
191,高雄市,前鎮區,,,8鄰新衙路17號
192,高雄市,左營區,,,2鄰啟文路12號
193,高雄市,鼓山區,,,馬卡道路330號
194,高雄市,鼓山區,,,馬卡道路330號
195,高雄市,楠梓區,,,17鄰藍昌路72號
196,高雄市,楠梓區,,,17鄰藍昌路72號
197,高雄市,鳥松區,,,18鄰大仁北路10號
198,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
199,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
200,高雄市,左營區,,,2鄰啟文路12號
201,高雄市,左營區,,,2鄰啟文路12號
202,高雄市,鹽埕區,,,019鄰中正四路272號
203,臺南市,東區,,,大學路1號
204,台南市,安南區,,,海中街300號
205,臺中市,北區,,,館前路1號
206,臺北市,中山南,,,路21-1號
207,臺中市,霧峰區,,,中正路738之2號
208,臺中市,霧峰區,,,中正路738之2號
209,臺中市,霧峰區,,,中正路738之2號
210,臺中市,西區,,,公益路68號
211,臺北市,松山區,,,復興北路231巷19號4樓
212,臺北市,大同區,,,萬全街103巷19號
213,臺北市,大同區,,,萬全街103巷19號
214,臺北市,大同區,,,萬全街103巷19號(蝶會會館)
143,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
144,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
145,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
146,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
147,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
148,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
149,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
150,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
151,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
152,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
153,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
154,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
155,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
156,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
157,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
158,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
159,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
160,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
161,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
162,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
163,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
164,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
165,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
166,臺南市,玉井區,,,樹糖街22號
167,南投縣,草屯鎮,,,中正路573號
168,南投縣,草屯鎮,,,中正路573號
169,南投縣,草屯鎮,,,中正路573號
170,高雄市,楠梓區,,,17鄰藍昌路72號
171,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
172,高雄市,鹽埕區,,,河西路99號
173,高雄市,鼓山區,,,4鄰鼓山三路19-3號
241,苗栗縣,銅鑼鄉,,,銅科南路6號
242,苗栗縣,銅鑼鄉,,,銅科南路6號
243,南投縣,竹山鎮,,,集山路二段345號
244,南投縣,竹山鎮,,,集山路二段345號
245,南投縣,竹山鎮,,,集山路二段345號
246,南投縣,竹山鎮,,,集山路二段345號
247,臺北市,南京東,,,路二段一號三樓
248,高雄市,鹽埕區,,,河西路99號
249,高雄市,鳳山區,,,017鄰光遠路161號
250,高雄市,鳳山區,,,017鄰光遠路161號
251,高雄市,三民區,,,陽明路300號3樓
252,南投縣,魚池鄉,,,中山路
253,南投縣,信義鄉,,,
254,彰化縣,鹿港鎮,,,復興路485號
255,彰化縣,花壇鄉,,,
256,彰化縣,芳苑鄉,,,漁港路1號
257,彰化縣,鹿港鎮,,,鹿工南四路30號
258,彰化縣,鹿港鎮,,,鹿工路15號
259,彰化縣,鹿港鎮,,,民權路160巷2號
260,彰化縣,鹿港鎮,,,鹿工路六號  (彰濱工業區鹿港區)
261,彰化縣,彰化市,,,卦山路4號
262,彰化縣,彰化市,,,中山路2段500號
215,臺北市,中山區,,,劍南蝴蝶步道（9：00捷運劍南路站1號出口集合）
216,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
217,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
218,高雄市,鹽埕區,,,019鄰中正四路272號
219,高雄市,鹽埕區,,,019鄰中正四路272號
220,高雄市,鹽埕區,,,019鄰中正四路272號
221,高雄市,鹽埕區,,,019鄰中正四路272號
222,高雄市,左營區,,,龜山巷157-2號
223,新北市,鶯歌區,,,二甲路36-2號
224,花蓮市,文復路,,,6號
225,臺北市,中正區,,,濟南路二段27號
226,宜蘭縣,礁溪鄉,,,
227,宜蘭縣,宜蘭市,,,1鄰光復路13號
228,高雄市,鼓山區,,,鼓山一路32號
229,高雄市,左營區,,,蓮潭路400號
230,高雄市,左營區,,,
231,高雄市,旗津區,,,旗津二路701號
232,高雄市,岡山區,,,009鄰岡山南路42號
233,高雄市,湖內區,,,3鄰保生路101號
234,宜蘭縣,宜蘭市,,,中山路二段426號
235,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
236,宜蘭縣,蘇澳鎮,,,23鄰中山路一段366號
237,,,,,
238,民雄鄉,建國路,,,2段265號
239,竹北市,縣政九,,,路146號.
240,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
